Numero a buscar, Tamaño n, Tiempo real, Encontrado
0,9000000,0.0005159378,s
5000,9000000,0.0005190372,n
61396,9000000,0.0005130768,n
152503,9000000,0.0005249977,n
214826,9000000,0.0005309582,n
322486,9000000,0.0005629063,s
3128036,9000000,0.0005772114,s
6337399,9000000,0.0005459785,s
10393545,9000000,0.0005447865,s
14700764,9000000,0.0005218983,n
187645041,9000000,0.0005710125,n
450057883,9000000,0.0005249977,n
1295390003,9000000,0.0004849434,s
1360839354,9000000,0.0005178452,n
1493283650,9000000,0.0005559921,s
1843349527,9000000,0.0005500317,s
1980098116,9000000,0.0005040169,n
2109248666,9000000,0.0006899834,n
2147445644,9000000,0.0005719662,n
2147470852,9000000,0.0005218983,n
