Numero a buscar, Tamaño n, Tiempo real, Encontrado
0,7000000,0.0005309582,s
5000,7000000,0.0005221367,n
61396,7000000,0.0005080700,n
152503,7000000,0.0004899502,n
214826,7000000,0.0005397797,n
322486,7000000,0.0005149841,s
3128036,7000000,0.0004951954,s
6337399,7000000,0.0005149841,s
10393545,7000000,0.0005760193,s
14700764,7000000,0.0004467964,n
187645041,7000000,0.0005011559,n
450057883,7000000,0.0004918575,n
1295390003,7000000,0.0004560947,s
1360839354,7000000,0.0003919601,n
1493283650,7000000,0.0004599094,s
1843349527,7000000,0.0005240440,n
1980098116,7000000,0.0005037785,n
2109248666,7000000,0.0005102158,n
2147445644,7000000,0.0005390644,n
2147470852,7000000,0.0005059242,n
