Numero a buscar, Tamaño n, Tiempo real, Encontrado
0,3000000,0.0007441044,s
5000,3000000,0.0007300377,n
61396,3000000,0.0005018711,n
152503,3000000,0.0005331039,n
214826,3000000,0.0004980564,n
322486,3000000,0.0004808903,s
3128036,3000000,0.0004711151,s
6337399,3000000,0.0009930134,s
10393545,3000000,0.0007739067,s
14700764,3000000,0.0004978180,n
187645041,3000000,0.0005209446,n
450057883,3000000,0.0005040169,n
1295390003,3000000,0.0004799366,n
1360839354,3000000,0.0005609989,n
1493283650,3000000,0.0005030632,n
1843349527,3000000,0.0049221516,n
1980098116,3000000,0.0004508495,n
2109248666,3000000,0.0004508495,n
2147445644,3000000,0.0021688938,n
2147470852,3000000,0.0004718304,n
